key,press_time,release_time,dwell_time,flight_time
Shift,788.800,1093.200,304.400,151.900
a,1245.100,1376.700,131.600,33.700
j,1410.400,1543.700,133.300,75.200
2,1618.900,1821.000,202.100,-44.500
4,1776.500,1919.700,143.200,101.800
0,2021.500,2159.800,138.300,52.600
3,2212.400,2336.800,124.400,55.100
2,2391.900,2526.500,134.600,29.200
0,2555.700,2644.000,88.300,63.200
0,2707.200,2828.300,121.100,-17.900
3,2810.400,2909.700,99.300,451.000
.,3360.700,3465.800,105.100,0
