key,press_time,release_time,dwell_time,flight_time
Shift,425.600,844.500,418.900,130.200
a,974.700,1107.000,132.300,-7.000
j,1100.000,1230.500,130.500,82.000
2,1312.500,1458.600,146.100,29.100
4,1487.700,1619.200,131.500,121.600
0,1740.800,1889.300,148.500,39.900
3,1929.200,2054.700,125.500,69.200
2,2123.900,2245.100,121.200,17.300
0,2262.400,2355.400,93.000,55.200
0,2410.600,2532.000,121.400,-27.500
3,2504.500,2618.500,114.000,838.300
.,3456.800,3594.200,137.400,0
