key,press_time,release_time,dwell_time,flight_time
Shift,523.000,897.100,374.100,87.600
a,984.700,1186.900,202.200,-51.000
j,1135.900,1267.900,132.000,80.200
2,1348.100,1533.500,185.400,-11.300
4,1522.200,1685.700,163.500,63.800
0,1749.500,1886.100,136.600,46.900
3,1933.000,2069.400,136.400,98.100
2,2167.500,2288.500,121.000,-7.100
0,2281.400,2380.400,99.000,47.600
0,2428.000,2542.400,114.400,-39.100
3,2503.300,2607.400,104.100,357.600
.,2965.000,3062.800,97.800,0
