key,press_time,release_time,dwell_time,flight_time
Shift,408.900,767.300,358.400,93.300
a,860.600,1039.500,178.900,-50.200
j,989.300,1120.000,130.700,65.900
2,1185.900,1327.500,141.600,27.400
4,1354.900,1496.600,141.700,120.500
0,1617.100,1774.400,157.300,50.500
3,1824.900,1951.300,126.400,75.700
2,2027.000,2147.100,120.100,21.200
0,2168.300,2256.100,87.800,51.900
0,2308.000,2422.600,114.600,5.300
3,2427.900,2531.000,103.100,310.800
.,2841.800,2944.500,102.700,0
