key,press_time,release_time,dwell_time,flight_time
Shift,346.900,930.000,583.100,96.300
a,1026.300,1190.700,164.400,-29.100
j,1161.600,1292.700,131.100,89.800
2,1382.500,1636.900,254.400,-60.300
4,1576.600,1707.300,130.700,98.700
0,1806.000,1952.500,146.500,26.400
3,1978.900,2105.800,126.900,77.900
2,2183.700,2305.100,121.400,9.900
0,2315.000,2396.700,81.700,66.200
0,2462.900,2574.500,111.600,13.300
3,2587.800,2697.000,109.200,324.600
.,3021.600,3130.300,108.700,0
