key,press_time,release_time,dwell_time,flight_time
Shift,667.200,1016.500,349.300,140.700
a,1157.200,1330.200,173.000,-27.400
j,1302.800,1422.400,119.600,104.200
2,1526.600,1680.000,153.400,34.200
4,1714.200,1841.000,126.800,108.400
0,1949.400,2091.300,141.900,56.700
3,2148.000,2269.000,121.000,87.200
2,2356.200,2469.900,113.700,27.600
0,2497.500,2601.200,103.700,47.200
0,2648.400,2772.500,124.100,-22.200
3,2750.300,2850.300,100.000,373.400
.,3223.700,3335.200,111.500,0
